"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-16T05:01:11","2026-05-16","8.374","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T02:01:11","2026-05-20","10.851","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-24T01:01:11","2026-05-24","13.383","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-16T06:01:11","2026-05-16","8.4","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-15T05:01:11","2026-05-15","8.417","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-12T23:01:11","2026-05-12","9.201","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-16T07:01:11","2026-05-16","8.493","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-15T06:01:11","2026-05-15","8.354","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-29T19:01:11","2026-05-29","15.282","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T00:01:11","2026-05-13","9.008","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-30T03:01:11","2026-05-30","13.394","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T03:01:11","2026-05-21","11.124","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T10:01:11","2026-05-14","8.277","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T07:01:11","2026-05-20","10.626","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T01:01:11","2026-05-13","8.877","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-14T11:01:11","2026-05-14","8.458","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T08:01:11","2026-05-20","10.664","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T02:01:11","2026-05-13","8.809","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T09:01:11","2026-05-20","10.734","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T10:01:11","2026-05-20","10.835","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T03:01:11","2026-05-13","8.732","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-13T04:01:11","2026-05-13","8.643","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T11:01:11","2026-05-20","10.961","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T18:01:11","2026-05-20","12.064","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T12:01:11","2026-05-20","11.129","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-21T04:01:11","2026-05-21","11.082","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T22:01:11","2026-05-20","11.609","","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/E01786A-temp-i-subdaily-C","2026-05-20T19:01:11","2026-05-20","11.966","","Unchecked",""
